SYSTEM IP,SYSTEM NAME,MANAGER,SCAN ID,STATUS,FIX,CIS,PCI,IOS,DESCRIPTION,CHECK NAME
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /var/log/audit. Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /var/log/audit partition. Example: <device> /var/log/audit <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log/audit with the configured options: # mount -o remount /var/log/audit.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The noexec mount option specifies that the filesystem cannot contain executable binaries.,Ensure noexec option set on /var/log/audit partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /var/log/audit. Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var/log/audit partition. Example: <device> /var/log/audit <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log/audit with the configured options: # mount -o remount /var/log/audit.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The nodev mount option specifies that the filesystem cannot contain special devices.,Ensure nodev option set on /var/log/audit partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"Edit /etc/default/grub and add the apparmor=1 and security=apparmor parameters to the GRUB_CMDLINE_LINUX= line GRUB_CMDLINE_LINUX=""apparmor=1 security=apparmor"" Run the following command to update the grub2 configuration: # update-grub.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,"Configure AppArmor to be enabled at boot time and verify that it has not been overwritten by the bootloader boot parameters. Note: This recommendation is designed around the grub bootloader, if LILO or another bootloader is in use in your environment enact equivalent settings.",Ensure AppArmor is enabled in the bootloader configuration.
IP_001,HOST_A,server,SCAN_001,PASS,"Edit the /etc/motd file with the appropriate contents according to your site policy, remove any instances of \m , \r , \s , \v or references to the OS platform - OR - - IF - the motd is not used, this file can be removed. Run the following command to remove the motd file: # rm /etc/motd.",,,,"The contents of the /etc/motd file are displayed to users after login and function as a message of the day for authenticated users. Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If mingetty(8) supports the following options, they display operating system information: \m - machine architecture \r - operating system release \s - operating system name \v - operating system version.",Ensure message of the day is configured properly.
IP_001,HOST_A,server,SCAN_001,FAIL,"Edit the /etc/issue file with the appropriate contents according to your site policy, remove any instances of \m , \r , \s , \v or references to the OS platform Example: # echo ""Authorized users only. All activity may be monitored and reported."" > /etc/issue.",,,,"The contents of the /etc/issue file are displayed to users prior to login for local terminals. Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If mingetty(8) supports the following options, they display operating system information: \m - machine architecture \r - operating system release \s - operating system name \v - operating system version - or the operating system's name.",Ensure local login warning banner is configured properly.
IP_001,HOST_A,server,SCAN_001,PASS,"- IF - systemd-timesyncd is in use on the system, run the following commands: Run the following command to unmask systemd-timesyncd.service: # systemctl unmask systemd-timesyncd.service Run the following command to enable and start systemd-timesyncd.service: # systemctl --now enable systemd-timesyncd.service - OR - If another time synchronization service is in use on the system, run the following command to stop and mask systemd-timesyncd: # systemctl --now mask systemd-timesyncd.service.",8.4,10.4,A.12.4.4,systemd-timesyncd is a daemon that has been added for synchronizing the system clock across the network.,Ensure systemd-timesyncd is enabled and running.
IP_001,HOST_A,server,SCAN_001,FAIL,"Run the following commands to stop cups.socket and cups.service, and remove the cups package: # systemctl stop cups.socket cups.service # apt purge cups - OR - - IF - the cups package is required as a dependency: Run the following commands to stop and mask the cups.socket and cups.service: # systemctl stop cups.socket cups.service # systemctl mask cups.socket cups.service.",4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,The Common Unix Print System (CUPS) provides the ability to print to both local and network printers. A system running CUPS can also accept print jobs from remote systems and print them to local printers. It also provides a web based remote administration capability.,Ensure print server services are not in use.
IP_001,HOST_A,server,SCAN_001,PASS,Run the following commands to stop isc-dhcp-server.service and isc-dhcp-server6.service and remove the isc-dhcp-server package: # systemctl stop isc-dhcp-server.service isc-dhcp-server6.service # apt purge isc-dhcp-server - OR - -IF the isc-dhcp-server package is required as a dependency: Run the following commands to stop and mask isc-dhcp-server.service and isc-dhcp-server6.service: # systemctl stop isc-dhcp-server.service isc-dhcp-server6.service # systemctl mask isc-dhcp-server isc-dhcp-server6.service.,4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,The Dynamic Host Configuration Protocol (DHCP) is a service that allows machines to be dynamically assigned IP addresses. There are two versions of the DHCP protocol DHCPv4 and DHCPv6. At startup the server may be started for one or the other via the -4 or -6 arguments.,Ensure dhcp server services are not in use.
IP_001,HOST_A,server,SCAN_001,PASS,Run the following commands to stop slapd.service and remove the slapd package: # systemctl stop slapd.service # apt purge slapd - OR - - IF - the slapd package is required as a dependency: Run the following commands to stop and mask slapd.service: # systemctl stop slapd.service # systemctl mask slapd.service.,4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,The Lightweight Directory Access Protocol (LDAP) was introduced as a replacement for NIS/YP. It is a service that provides a method for looking up information from a central database.,Ensure ldap server services are not in use.
IP_001,HOST_A,server,SCAN_001,PASS,Run the following commands to stop bind9.service and remove the bind9 package: # systemctl stop bind9.service # apt purge bind9 - OR - - IF - the bind9 package is required as a dependency: Run the following commands to stop and mask bind9.service: # systemctl stop bind9.service # systemctl mask bind9.service.,4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,"The Domain Name System (DNS) is a hierarchical naming system that maps names to IP addresses for computers, services and other resources connected to a network.",Ensure dns server services are not in use.
IP_001,HOST_A,server,SCAN_001,PASS,"Run one of the following commands to remove dovecot-imapd and dovecot-pop3d: Run the following commands to stop dovecot.socket and dovecot.service, and remove the dovecot-imapd and dovecot-pop3d packages: # systemctl stop dovecot.socket dovecot.service # apt purge dovecot-imapd dovecot-pop3d - OR - - IF - a package is installed and is required for dependencies: Run the following commands to stop and mask dovecot.socket and dovecot.service: # systemctl stop dovecot.socket dovecot.service # systemctl mask dovecot.socket dovecot.service.",4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,dovecot-imapd and dovecot-pop3d are an open source IMAP and POP3 server for Linux based systems.,Ensure message access server services are not in use.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following commands to stop smbd.service and remove samba package: # systemctl stop smbd.service # apt purge samba - OR - - IF - the samba package is required as a dependency: Run the following commands to stop and mask the smbd.service: # systemctl stop smbd.service # systemctl mask smbd.service.,4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,The Samba daemon allows system administrators to configure their Linux systems to share file systems and directories with Windows desktops. Samba will advertise the file systems and directories via the Server Message Block (SMB) protocol. Windows desktop users will be able to mount these directories and file systems as letter drives on their systems.,Ensure samba file server services are not in use.
IP_001,HOST_A,server,SCAN_001,PASS,Uninstall ldap-utils: # apt purge ldap-utils.,4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,The Lightweight Directory Access Protocol (LDAP) was introduced as a replacement for NIS/YP. It is a service that provides a method for looking up information from a central database.,Ensure ldap client is not installed.
IP_001,HOST_A,server,SCAN_001,PASS,"Run the following commands to stop rpcbind.socket and rpcbind.service, and remove the rpcbind package: # systemctl stop rpcbind.socket rpcbind.service # apt purge rpcbind - OR - - IF - the rpcbind package is required as a dependency: Run the following commands to stop and mask the rpcbind.socket and rpcbind.service: # systemctl stop rpcbind.socket rpcbind.service # systemctl mask rpcbind.socket rpcbind.service.",4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,"The rpcbind utility maps RPC services to the ports on which they listen. RPC processes notify rpcbind when they start, registering the ports they are listening on and the RPC program numbers they expect to serve. The client system then contacts rpcbind on the server with a particular RPC program number. The rpcbind.service redirects the client to the proper port number so it can communicate with the requested service. Portmapper is an RPC service, which always listens on tcp and udp 111, and is used to map other RPC services (such as nfs, nlockmgr, quotad, mountd, etc.) to their corresponding port number on the server. When a remote host makes an RPC call to that server, it first consults with portmap to determine where the RPC server is listening.",Ensure rpcbind services are not in use.
IP_001,HOST_A,server,SCAN_001,PASS,Run the following command to install Uncomplicated Firewall (UFW): apt install ufw.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"The Uncomplicated Firewall (ufw) is a frontend for iptables and is particularly well-suited for host-based firewalls. ufw provides a framework for managing Netfilter, as well as a command-line interface for manipulating the firewall.",Ensure ufw is installed.
IP_001,HOST_A,server,SCAN_001,PASS,Run the following command to remove the iptables-persistent package: # apt purge iptables-persistent.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"The iptables-persistent is a boot-time loader for Netfilter rules, iptables plugin.",Ensure iptables-persistent is not installed with ufw.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following commands to implement the loopback rules: # ufw allow in on lo # ufw allow out on lo # ufw deny in from 127.0.0.0/8 # ufw deny in from ::1.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,Configure the loopback interface to accept traffic. Configure all other interfaces to deny traffic to the loopback network (127.0.0.0/8 for IPv4 and ::1/128 for IPv6).,Ensure ufw loopback traffic is configured.
IP_001,HOST_A,server,SCAN_001,PASS,Run the following command to install nftables: # apt install nftables.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"nftables provides a new in-kernel packet classification framework that is based on a network-specific Virtual Machine (VM) and a new nft userspace command line tool. nftables reuses the existing Netfilter subsystems such as the existing hook infrastructure, the connection tracking system, NAT, userspace queuing and logging subsystem. Notes: - nftables is available in Linux kernel 3.13 and newer - Only one firewall utility should be installed and configured - Changing firewall settings while connected over the network can result in being locked out of the system.",Ensure nftables is installed.
IP_001,HOST_A,server,SCAN_001,FAIL,"Run the following command for the base chains with the input, forward, and output hooks to implement a default DROP policy: # nft chain <table family> <table name> <chain name> { policy drop \; } Example: # nft chain inet filter input { policy drop \; } # nft chain inet filter forward { policy drop \; } # nft chain inet filter output { policy drop \; }.","4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,Base chain policy is the default verdict that will be applied to packets reaching the end of the chain.,Ensure nftables default deny firewall policy.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following command to enable the nftables service: # systemctl enable nftables.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"The nftables service allows for the loading of nftables rulesets during boot, or starting on the nftables service.",Ensure nftables service is enabled.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following command to install iptables and iptables-persistent # apt install iptables iptables-persistent.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"iptables is a utility program that allows a system administrator to configure the tables provided by the Linux kernel firewall, implemented as different Netfilter modules, and the chains and rules it stores. Different kernel modules and programs are used for different protocols; iptables applies to IPv4, ip6tables to IPv6, arptables to ARP, and ebtables to Ethernet frames.",Ensure iptables packages are installed.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following command to remove nftables: # apt purge nftables.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,nftables is a subsystem of the Linux kernel providing filtering and classification of network packets/datagrams/frames and is the successor to iptables.,Ensure nftables is not installed with iptables.
IP_001,HOST_A,server,SCAN_001,PASS,Run one of the following commands to either remove ufw or stop and mask ufw Run the following command to remove ufw: # apt purge ufw - OR - Run the following commands to disable ufw: # ufw disable # systemctl stop ufw # systemctl mask ufw Note: ufw disable needs to be run before systemctl mask ufw in order to correctly disable UFW.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,Uncomplicated Firewall (UFW) is a program for managing a Netfilter firewall designed to be easy to use. - Uses a command-line interface consisting of a small number of simple commands - Uses iptables for configuration.,Ensure ufw is uninstalled or disabled with iptables.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following commands to implement a default DROP policy: # iptables -P INPUT DROP # iptables -P OUTPUT DROP # iptables -P FORWARD DROP.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"A default deny all policy on connections ensures that any unconfigured network usage will be rejected. Notes: - Changing firewall settings while connected over network can result in being locked out of the system - Remediation will only affect the active system firewall, be sure to configure the default policy in your firewall management to apply on boot as well.",Ensure iptables default deny firewall policy.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following commands to implement the loopback rules: # iptables -A INPUT -i lo -j ACCEPT # iptables -A OUTPUT -o lo -j ACCEPT # iptables -A INPUT -s 127.0.0.0/8 -j DROP.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"Configure the loopback interface to accept traffic. Configure all other interfaces to deny traffic to the loopback network (127.0.0.0/8). Note: - Changing firewall settings while connected over network can result in being locked out of the system - Remediation will only affect the active system firewall, be sure to configure the default policy in your firewall management to apply on boot as well.",Ensure iptables loopback traffic is configured.
IP_001,HOST_A,server,SCAN_001,FAIL,IF IPv6 is enabled on your system: Run the following commands to implement a default DROP policy: # ip6tables -P INPUT DROP # ip6tables -P OUTPUT DROP # ip6tables -P FORWARD DROP.,"4.4,4.5","1.1.4,1.3.1,1.4",A.13.1.1,"A default deny all policy on connections ensures that any unconfigured network usage will be rejected. Note: - Changing firewall settings while connected over network can result in being locked out of the system - Remediation will only affect the active system firewall, be sure to configure the default policy in your firewall management to apply on boot as well.",Ensure ip6tables default deny firewall policy.
IP_001,HOST_A,server,SCAN_001,FAIL,Run the following command to Install auditd and audispd-plugins # apt install auditd audispd-plugins.,8.5,"10.1,10.2.2,10.2.4,10.2.5,10.3",A.12.4.1,auditd is the userspace component to the Linux Auditing System. It's responsible for writing audit records to the disk.,Ensure auditd packages are installed.
IP_001,HOST_A,server,SCAN_001,FAIL,"Edit /etc/default/grub and add audit_backlog_limit=N to GRUB_CMDLINE_LINUX. The recommended size for N is 8192 or larger. Example: GRUB_CMDLINE_LINUX=""audit_backlog_limit=8192"" Run the following command to update the grub2 configuration: # update-grub.",8.2,"10.2,10.3",A.12.4.1,"In the kernel-level audit subsystem, a socket buffer queue is used to hold audit events. Whenever a new audit event is received, it is logged and prepared to be added to this queue. The kernel boot parameter audit_backlog_limit=N, with N representing the amount of messages, will ensure that a queue cannot grow beyond a certain size. If an audit event is logged which would grow the queue beyond this limit, then a failure occurs and is handled according to the system configuration.",Ensure audit_backlog_limit is sufficient.
IP_001,HOST_A,server,SCAN_001,FAIL,Set the following parameter in /etc/audit/auditd.conf in accordance with site policy: max_log_file = <MB>.,8.3,10.7,A.12.4.1,"Configure the maximum size of the audit log file. Once the log reaches the maximum size, it will be rotated and a new log file will be started.",Ensure audit log storage size is configured.
IP_001,HOST_A,server,SCAN_001,FAIL,Set the following parameter in /etc/audit/auditd.conf: max_log_file_action = keep_logs.,8.3,10.7,A.12.4.1,The max_log_file_action setting determines how to handle the audit log file reaching the max file size. A value of keep_logs will rotate the logs but never delete old logs.,Ensure audit logs are not automatically deleted.
IP_001,HOST_A,server,SCAN_001,FAIL,Set one of the following parameters in /etc/audit/auditd.conf depending on your local security policies. disk_full_action = <halt|single> disk_error_action = <syslog|single|halt> Example: disk_full_action = halt disk_error_action = halt.,"8.2,8.3","10.2,10.3,10.7",,"The auditd daemon can be configured to halt the system or put the system in single user mode, if no free space is available or an error is detected on the partition that holds the audit log files. The disk_full_action parameter tells the system what action to take when no free space is available on the partition that holds the audit log files. Valid values are ignore, syslog, rotate, exec, suspend, single, and halt. - ignore, the audit daemon will issue a syslog message but no other action is taken - syslog, the audit daemon will issue a warning to syslog - rotate, the audit daemon will rotate logs, losing the oldest to free up space - exec, /path-to-script will execute the script. You cannot pass parameters to the script. The script is also responsible for telling the auditd daemon to resume logging once its completed its action - suspend, the audit daemon will stop writing records to the disk - single, the audit daemon will put the computer system in single user mode - halt, the audit daemon will shut down the system The disk_error_action parameter tells the system what action to take when an error is detected on the partition that holds the audit log files. Valid values are ignore, syslog, exec, suspend, single, and halt. - ignore, the audit daemon will not take any action - syslog, the audit daemon will issue no more than 5 consecutive warnings to syslog - exec, /path-to-script will execute the script. You cannot pass parameters to the script - suspend, the audit daemon will stop writing records to the disk - single, the audit daemon will put the computer system in single user mode - halt, the audit daemon will shut down the system.",Ensure system is disabled when audit logs are full.
IP_001,HOST_A,server,SCAN_001,FAIL,"Create audit rules Edit or create a file in the /etc/audit/rules.d/ directory, ending in .rules extension, with the relevant rules to monitor elevated privileges. Example: # printf "" -a always,exit -F arch=b64 -C euid!=uid -F auid!=unset -S execve -k user_emulation -a always,exit -F arch=b32 -C euid!=uid -F auid!=unset -S execve -k user_emulation "" >> /etc/audit/rules.d/50-user_emulation.rules Load audit rules Merge and load the rules into active configuration: # augenrules --load Check if reboot is required. # if [[ $(auditctl -s | grep ""enabled"") =~ ""2"" ]]; then printf ""Reboot required to load rules\n""; fi.",8.5,"10.1,10.2.2,10.2.4,10.2.5,10.3",A.9.4.2,"sudo provides users with temporary elevated privileges to perform operations, either as the superuser or another user.",Ensure actions as another user are always logged.
IP_001,HOST_A,server,SCAN_001,FAIL,"Edit or create a file in the /etc/audit/rules.d/ directory, ending in .rules extension, with the relevant rules to monitor events that modify user/group information. Example: # printf "" -w /etc/group -p wa -k identity -w /etc/passwd -p wa -k identity -w /etc/gshadow -p wa -k identity -w /etc/shadow -p wa -k identity -w /etc/security/opasswd -p wa -k identity -w /etc/nsswitch.conf -p wa -k identity -w /etc/pam.conf -p wa -k identity -w /etc/pam.d -p wa -k identity "" >> /etc/audit/rules.d/50-identity.rules Merge and load the rules into active configuration: # augenrules --load Check if reboot is required. # if [[ $(auditctl -s | grep ""enabled"") =~ ""2"" ]]; then printf ""Reboot required to load rules\n""; fi.",8.5,"10.1,10.2.2,10.2.4,10.2.5,10.3",A.12.4.3,"Record events affecting the modification of user or group information, including that of passwords and old passwords if in use. - /etc/group - system groups - /etc/passwd - system users - /etc/gshadow - encrypted password for each group - /etc/shadow - system user passwords - /etc/security/opasswd - storage of old passwords if the relevant PAM module is in use - /etc/nsswitch.conf - file configures how the system uses various databases and name resolution mechanisms - /etc/pam.conf - file determines the authentication services to be used, and the order in which the services are used. - /etc/pam.d - directory contains the PAM configuration files for each PAM-aware application. The parameters in this section will watch the files to see if they have been opened for write or have had attribute changes (e.g. permissions) and tag them with the identifier ""identity"" in the audit log file.",Ensure events that modify user/group information are collected.
IP_001,HOST_A,server,SCAN_001,FAIL,"Edit or create a file in the /etc/audit/rules.d/ directory, ending in .rules extension, with the relevant rules to monitor session initiation information. Example: # printf "" -w /var/run/utmp -p wa -k session -w /var/log/wtmp -p wa -k session -w /var/log/btmp -p wa -k session "" >> /etc/audit/rules.d/50-session.rules Merge and load the rules into active configuration: # augenrules --load Check if reboot is required. # if [[ $(auditctl -s | grep ""enabled"") =~ ""2"" ]]; then printf ""Reboot required to load rules\n""; fi.",8.5,"10.1,10.2.2,10.2.4,10.2.5,10.3",A.9.4.2,"Monitor session initiation events. The parameters in this section track changes to the files associated with session events. - /var/run/utmp - tracks all currently logged in users. - /var/log/wtmp - file tracks logins, logouts, shutdown, and reboot events. - /var/log/btmp - keeps track of FAILlogin attempts and can be read by entering the command /usr/bin/last -f /var/log/btmp. All audit records will be tagged with the identifier ""session."".",Ensure session initiation information is collected.
IP_001,HOST_A,server,SCAN_001,NA,"Run the following command to configure the audit log files to be group owned by adm: # find $(dirname $(awk -F""="" '/^\s*log_file/ {print $2}' /etc/audit/auditd.conf | xargs)) -type f \( ! -group adm -a ! -group root \) -exec chgrp adm {} + Run the following command to set the log_group parameter in the audit configuration file to log_group = adm: # sed -ri 's/^\s*#?\s*log_group\s*=\s*\S+(\s*#.*)?.*$/log_group = adm\1/' /etc/audit/auditd.conf Run the following command to restart the audit daemon to reload the configuration file: # systemctl restart auditd.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,Audit log files contain information about the system and system activity.,Ensure audit log files group owner is configured.
IP_001,HOST_A,server,SCAN_001,PASS,"Run the following command to remove more permissive mode than 0640 from the audit configuration files: # find /etc/audit/ -type f \( -name '*.conf' -o -name '*.rules' \) -exec chmod u-x,g-wx,o-rwx {} +.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,Audit configuration files control auditd and what events are audited.,Ensure audit configuration files mode is configured.
IP_001,HOST_A,server,SCAN_001,PASS,Run the following command to change ownership to root user: # find /etc/audit/ -type f \( -name '*.conf' -o -name '*.rules' \) ! -user root -exec chown root {} +.,3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,Audit configuration files control auditd and what events are audited.,Ensure audit configuration files owner is configured.
IP_001,HOST_A,server,,,,,,,,
IP_001,HOST_A,server,SCAN_001,NA,"Edit /etc/aide/aide.conf and add or update the following selection lines: # Audit Tools /sbin/auditctl p+i+n+u+g+s+b+acl+xattrs+sha512 /sbin/auditd p+i+n+u+g+s+b+acl+xattrs+sha512 /sbin/ausearch p+i+n+u+g+s+b+acl+xattrs+sha512 /sbin/aureport p+i+n+u+g+s+b+acl+xattrs+sha512 /sbin/autrace p+i+n+u+g+s+b+acl+xattrs+sha512 /sbin/augenrules p+i+n+u+g+s+b+acl+xattrs+sha512 Note: - IF - /etc/aide/aide.conf includes a @@x_include statement: Example: @@x_include /etc/aide/aide.conf.d ^[a-zA-Z0-9_-]+$ - @@x_include FILE - @@x_include DIRECTORY REGEX o o @x_include is identical to @@include, except that if a config file is executable it is run and the output is used as config. If the executable file exits with status greater than zero or writes to stderr aide stops with an error. o For security reasons DIRECTORY and each executable config file must be owned by the current user and must not be group or world-writable.",,,,"Audit tools include, but are not limited to, vendor-provided and open source audit tools needed to successfully view and manipulate audit information system activity and records. Audit tools include custom queries and report generators.",Ensure cryptographic mechanisms are used to protect the integrity of audit tools.
